0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,126,203,35,49,102,196,111,110,145,107,21,136,129,24,54,156,141,95,71,61,137,18,42,75,147,39,64,29,166,18,76,213,32,132,124,149,115,53,16,105,97,87,116,250,49,59,105,63,347,125,116,149,128,129,120,96,59,80,136,151,127,100,111,19,140,107,159,11,149,112,104,349,94,136,189,122,127,105,99,143,13,90,17,108,75,66,138,348,158,168,22,75,14,28,79,88,91,115,163,167,163,37,189,52,343,15,57,68,117,68,10,120,46,17,40,223,168,22,192,11,119,155,110,29,80,89,62,134,97,16,58,111,54,99,145,156,57,52,125,81,235,50,129,104,113,16,197,113,122,143,163,78,74,32,146,69,101,26,30,10,152,19,341,137,193,75,83,16,66,163,206,34,59,9,141,78,11,18,51
64.145,129.81,205.05,38.51,48.47,101.14,194.16,111.11,108.46,149.73,107.82,24.225,140.3,132.03,27.7,53.08,161.84,145,95.515,71.485,58.305,142.5,19.88,44.79,76.225,152.23,41.45,62.465,31.34,173.84,20.295,77.795,217.2,36.075,137.29,130.62,154.67,114.81,50.6,9.07,101.67,94.635,86.16,119.32,255.03,44.735,59.145,105.42,63.745,355.65,124.63,118.11,155.85,133.67,137.05,122.79,96.545,58.04,80.855,136.1,155.36,127.46,98.145,111.43,22.14,144.17,106.92,163.91,10.67,153.76,112.39,105.76,360.93,93.645,138.99,179.65,126.64,130.08,104.05,97.64,149.28,13.395,90.555,15.605,109.65,81.775,66.345,141.78,362.16,165.25,178.27,22.415,76.225,12.52,31.19,79.885,88.065,92.29,117.11,171.43,175.52,169.67,41.015,181.61,49.435,350.27,15.95,56.815,68.645,120.22,67.715,5.78,123.23,46.645,18.385,43.505,226.31,176.86,26.04,191.31,6.875,122.2,159.52,113.54,32.55,83.15,90.165,61.71,136.91,98.49,16.27,55.875,111.77,49.995,99.93,150.96,161.81,53.7,52.54,130.81,82.415,234.55,47.315,129.42,103.98,116.16,9.105,200.63,114.29,125.6,147.21,168.09,78.79,73.45,35.045,150.41,69.55,102.57,29.66,33.78,-0.295,157.18,11.735,348.45,141.84,193.49,76.005,84.235,17.37,65.215,170.04,208.17,38.14,59.25,2.18,146.81,85.405,7.53,14.825,51.48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,0,-0,-0,-0,0,0,-0,0,0,-0,-0,0,0,0,-0,0,0,-0,0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,0,0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,0,0,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,-0,0,-0,0,-0,-0,-0,0,-0,-0,0,-0,-0,0,0,-0,0,-0,-0,-0,0,0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,0,0,0,-0,0,0,-0,-0,0,-0,0,0,-0,-0,0,0,0,-0,-0,0,0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
