79.76,3.4436,102.4,87.603,90.985,92.065,95.75,91.632,87.809,178.48,87.581,90.019,94.741,89.419,86.72,86.869,86.465,81.475,117.11,92.472,92.106,86.807,89.866,90.521,87.048,66.609,90.084,62.227,94.241,82.128,87.934,90.02,88.334,87.69,91.022,1.3173,108.54,101.56,89.505,86.695,93.414,85.083,73.328,78.234,61.064,90.428,92.529,17.917,84.649,87.25,91.504,88.492,97.194,84.794,89.617,90.203,90.302,94.865,90.442,19.771,95.738,93.911,98.811,100.94,129.92,109.44,67.567,93.366,96.601,91.28,124.97,89.484,92.018,89.365,89.268,0.35912,89.535,39.998,106.56,89.429,104.05,87.623,69.183,0.44344,118.01,131.06,86.014,129.13,88.774,89.365,91.751,162,85.48,89.266,89.023,5.3278,89.946,90.634,93.632,104.12,90.062,105.37,93.103,85.455,89.7,91.594,88.388,89.962,90.016,90.07,91.067,93.151,78.948,109.47,117.93,167.64,88.984,93.328,89.873,90.591,90.291,90.059,103.88,124.4,90.642,79.498,93.49,106.78,93.387,87.731,91.331,86.847,94.639,96.316,88.336,90.007,85.655,87.761,98.036,95.083,90.239,91.095,90.98,80.221,83.656,90.084,81.143,30.9,165.7,91.916,96.772,67.384,88.675,91.294,92.168,89.246,85.856,90.693,89.593,89.979,92.181,83.249,96.267,98.2,94.318,74.059,99.102,81.681,89.65,88.862,90.872,90.991,93.239,86.671,55.641,90.715,90.376,85.155,90.411,82.172
126,-86,81,-22,33,66,75,51,64,94,-11,32,-36,71,-31,60,-33,-44,92,-37,-41,67,-40,27,-41,-90,-6,-63,-16,130,30,67,-54,-11,-30,-86,133,80,-28,-24,79,123,-61,-49,177,40,33,-90,74,75,-7,-25,-20,-8,88,38,1,48,30,-88,49,-20,82,64,88,87,-61,72,74,125,91,36,40,35,-10,177,29,-91,80,71,68,-48,-52,-85,91,-105,-18,89,-16,33,64,93,-37,30,-47,-87,26,-50,-42,75,24,87,74,-5,-14,43,35,26,24,-14,28,83,-58,117,114,94,30,-46,-3,27,122,0,-31,89,1,136,-35,-21,-10,80,31,-31,49,73,65,1,-37,134,122,-16,-21,-50,-21,48,129,28,116,-87,94,-18,76,-14,-5,31,79,-47,-37,-25,0,27,-7,-24,78,124,44,-54,120,-49,-4,67,-28,73,-9,138,-92,35,115,-38,28,-34
113.55,-84.475,71.375,-28.845,18.62,50.11,64.855,51.13,50.125,94.495,-17.01,16.245,-43.125,53.525,-43.06,49.705,-41.14,-33.41,87.1,-38.96,-38.885,51.955,-35.705,8.43,-36.385,-95.195,-10.76,-77.33,-23.025,119.21,13.78,49.75,-65.4,-17.855,-43.295,-85.645,121.77,69.305,-33.73,-30.955,66.04,111.31,-74.705,-59.66,177.21,33.625,16.68,-94.67,60.515,58.605,-11.6,-31.835,-26.82,-8.08,81.915,26.45,4.09,53.725,8.92,-90.875,52.515,-26.805,71.68,49.72,80.86,79.25,-73.3,54.43,57.13,113.02,84.84,21.605,32.31,20.04,-14.945,180.23,9.98,-97.6,68.26,53.75,51.765,-55.32,-62.315,-85.675,83.785,-115.61,-24.7,87.11,-22.665,18.265,49.93,88.32,-39.99,14.665,-55.465,-83.375,1.025,-61.72,-38.29,62.52,3.085,80.55,61.605,-5.415,-18.665,60.725,20.47,0.6,2.265,-19.19,9.325,75.875,-70.035,97.135,97.49,95.77,12.34,-55.75,-6.305,7.525,108.25,0.625,-39.47,82.67,5.29,127.13,-42.865,-29.325,-15.55,68.81,15.79,-43.105,53.215,55.425,51.34,1.42,-39.455,125.19,108.59,-23.895,-27.8,-59.445,-28.81,48.165,118.58,11.375,101.22,-92.055,96.595,-25.61,62.795,-22.055,-8.76,14.26,67.18,-57.425,-34.365,-30.4,6.285,6.815,-10.02,-30.37,66.35,110.88,58.98,-65.015,107.84,-59.19,-8.685,52.005,-35.84,57.64,-12.91,138.04,-98.675,19.465,99.875,-38.4,7.75,-40.995
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,0,0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
