107.63,92.376,12.326,112.04,113.39,89.923,90.055,145.21,67.058,2.7534,115.16,49.239,149.94,90.196,107.69,151.74,16.736,89.981,5.8896,113.5,105.84,122.19,48.577,7.3112,49.617,11.964,152.4,47.846,13.469,2.032,99.615,115.58,90.111,78.25,102.75,90.294,121.71,147.42,150.85,126.24,1.2367,90.429,7.8867,107.41,89.984,48.274,122.18,53.871,68.436,90.308,100.83,112.31,67.527,1.178,9.6772,17.528,64.714,105.06,111.12,154.49,144.88,23.362,112.35,96.152,90.078,0.71284,29.431,108.55,89.622,49.063,112.28,7.7871,122.73,103.86,47.984,89.979,114.85,98.16,95.912,50.553,91.875,131.62,115.76,13.794,90.453,155.54,90.372,90.035,73.888,98.98,95.103,89.764,13.045,59.083,88.966,91.27,153.44,41.442,149.51,30.134,80.024,124.5,51.461,4.9411,150.98,89.727,90.394,14.304,62.317,153.76,93.968,144.1,108.08,91.141,50.739,102.41,90.145,54.686,154.35,45.792,114.44,124.64,89.982,98.058,79.464,10.26,54.622,47.565,77.596,90.109,90.116,139.93,63.774,90.732,92.403,78.308,89.42,50.946,89.968,50.241,63.565,151.71,89.936,14.827,103.55,3.3075,61.099,56.139,94.568,114.25,90.102,89.607,103.01,76.71,3.8146,97.372,104.98,105.3,156.5,10.504,90.687,18.883,41.864,65.12,20.376,151.38,1.4652,76.34,50.763,110.46,86.107,110.11,89.945,98.556,64.636,90.998,56.448,92.035,7.7266,154.17
45,51,-49,45,51,41,39,49,-4,-54,46,-4,97,39,48,93,-48,39,-52,46,45,50,175,-53,-5,-50,135,-4,-51,-75,42,50,42,-2,43,40,96,51,50,77,-54,39,-53,44,9,3,144,175,-4,7,133,46,-5,-53,-51,-48,176,42,49,96,141,-47,47,41,40,-76,-47,45,8,-6,50,-54,51,48,-37,42,49,52,42,-6,41,51,47,-173,42,96,40,41,49,42,51,40,-51,-4,41,88,94,-47,50,-46,54,53,174,-56,93,9,41,-49,176,96,42,91,44,98,-5,40,8,175,95,-6,-4,50,41,-2,53,-52,175,-36,178,40,7,90,-8,10,7,96,41,-6,39,175,145,94,40,-48,44,-55,145,-5,44,47,9,42,5,175,-54,138,44,42,95,-77,40,-47,-48,147,-79,93,-54,133,-7,47,51,44,10,8,175,8,-7,41,-53,94
67.305,71.545,-60.99,69.375,68.95,45.11,35.175,75.875,-15.995,-62.395,71.85,-15.6,78.235,31.04,66.38,78.69,-45.315,33.515,-62.475,70.145,65.24,73.8,164.78,-62.24,-15.46,-60.295,138.52,-15.155,-60.37,-74.28,57,73.245,34.585,-11.605,58.135,33.025,80.705,77.715,77.905,76.625,-61.73,34.36,-62.08,66.57,10.04,0.56,159.11,163.45,-16.25,18.51,148.22,68.725,-19.655,-61.48,-61.96,-45.8,160.17,63.865,71.43,80.39,145.28,-44.99,70.505,55.695,30.535,-75.03,-43.65,68.545,11.82,-16.365,72.505,-62.47,74.21,71.68,-14.945,45.295,71.565,68.685,56.16,-16.095,29.25,74.785,72.165,-152.74,45.015,79.725,32.58,32.22,69.66,56.45,69.815,31.535,-60.54,-17.65,32.065,104.78,78.065,-43.14,80.095,-43.6,69.775,74.49,164.53,-62.635,79.695,13.05,32.44,-59.92,168.2,78.69,55.545,76.015,67.155,103.49,-15.89,19.59,11.385,161.61,79.705,-14.24,-11.385,73.82,34.905,-19.565,69.52,-61.25,164.11,-15.15,168.56,33.56,18.995,92.535,-16.015,20.165,19.325,99.945,34.93,-15.495,34.465,165.09,164.03,79.7,34.99,-59.87,59.04,-61.865,164.13,-15.64,45.045,71.465,10.36,44.36,0.775,163.71,-62.22,137.72,64.46,64.8,78.715,-61.595,30.05,-45.165,-43.45,164.12,-83.515,80.18,-61.365,137.01,-16.005,68.875,70.18,68.485,10.16,19.74,164.51,19.875,-15.47,28.465,-62.055,79.26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0,-0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,0,-0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,0,0,0,-0,-0,-0,-0,0,-0,-0,-0,0,0,-0,-0,-0,-0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,0,-0,0,-0,-0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,0,0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,0,-0,0,0,-0,0,-0,0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
