2.1198,155.7,117.84,17.006,156.18,54.107,92.993,80.529,90.215,8.6932,8.1922,49.75,75.689,15.356,6.0506,51.896,11.638,67.407,113.24,102.69,151.59,68.976,91.356,149.95,82.757,104.02,52.848,127.59,105.55,116.86
2.1198,155.7,118.84,17.006,156.18,54.107,90.993,80.529,90.215,9.6932,8.1922,49.75,75.689,15.356,6.0506,49.896,11.638,67.407,113.24,102.69,151.59,66.976,92.356,149.95,82.757,105.02,53.848,127.59,104.55,116.86
2.7648,155.54,118.72,17.221,156.19,54.162,113.95,74.329,93.435,9.7582,8.4072,49.595,75.124,15.321,6.2756,50.031,11.838,67.692,112.94,102.93,151.48,66.806,96.916,150,73.732,114.22,53.838,127.45,104.45,116.92
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0,-0,0,-0,0,-0,0,-0,0,0,0,-0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
